r,obs,theo,lo,hi
0,0,0,0,0
3.2519339355458,39837.98434464235,33.22257579850472,0,0
6.5038678710916,39837.98434464235,132.89030319401888,0,3117.7552965372274
9.7558018066374,39837.98434464235,299.00318218654246,0,3599.0702367433896
13.0077357421832,39837.98434464235,531.5612127760755,0,6025.04065707759
16.259669677729,39837.98434464235,830.5643949626179,0,6457.204728428289
19.5116036132748,39837.98434464235,1196.0127287461698,0,6457.204728428289
22.7635375488206,39837.98434464235,1627.9062141267311,0,8573.666389570524
26.0154714843664,39837.98434464235,2126.244851104302,0,8573.666389570524
29.2674054199122,39837.98434464235,2691.0286396788824,0,9920.299500490544
32.519339355458,39837.98434464235,3322.2575798504718,0,12689.811031519941
35.7712732910038,39837.98434464235,4019.931671619071,0,12689.811031519941
39.0232072265496,39837.98434464235,4784.050914984679,0,14880.449250735817
42.2751411620954,39837.98434464235,5614.615309947298,0,14880.449250735817
45.5270750976412,39837.98434464235,6511.6248565069245,0,17360.524125858454
48.779009033187,64353.66701826841,7475.079554663563,0,19840.59900098109
52.0309429687328,64353.66701826841,8504.979404417209,0,19840.59900098109
55.2828769042786,64353.66701826841,9601.324405767864,0,19840.59900098109
58.5348108398244,67418.12735247167,10764.11455871553,0,22320.673876103723
61.7867447753702,76611.50835508145,11993.349863260204,0,27112.68295684916
65.038678710916,91933.81002609772,13289.030319401887,0,29146.42937477243
68.2906126464618,91933.81002609772,14651.155927140579,0,30863.175018219164
71.5425465820076,98062.73069450424,16079.726686476284,2726.911595581341,32745.49961151582
74.79448051755341,98062.73069450424,17574.742597409,2817.426883607005,32745.49961151582
78.0464144530992,104191.65136291075,19136.203659938717,5453.823191162682,34721.04825171691
81.298348388645,110320.57203131726,20764.109874065445,5453.823191162682,37684.55098945402
84.5502823241908,110320.57203131726,22458.46123978919,5728.767996667577,43648.574151521185
87.80221625973661,128707.33403653682,24219.257757109943,8049.8430301561175,46766.32944805841
91.0541501952824,134836.25470494333,26046.499426027698,9193.381002609773,49560.866139598686
94.3060841308282,150158.55637595963,27940.186246542464,9193.381002609773,57478.40957302846
97.558018066374,150158.55637595963,29900.31821865425,9193.381002609773,61437.18128974335
100.80995200191981,153223.0167101629,31926.895342363037,12257.84133681303,61437.18128974335
104.0618859374656,162416.39771277265,34019.917617668834,12257.84133681303,65395.953006458236
107.3138198730114,165480.85804697592,36179.38504457163,12257.84133681303,69354.72472317313
110.5657538085572,168545.31838117915,38405.297623071456,15322.301671016288,69354.72472317313
113.81768774410301,168545.31838117915,40697.65535316829,18386.762005219545,73313.49643988801
117.0696216796488,168545.31838117915,43056.45823486212,21451.222339422802,85189.81159003268
120.3215556151946,168545.31838117915,45481.70626815296,21451.222339422802,89148.58330674756
123.5734895507404,193061.00105480524,47973.399453040816,23844.06139153532,89148.58330674756
126.82542348628621,193061.00105480524,50531.53778952568,27250.35587604037,97066.12674017734
130.077357421832,196125.46138900847,53156.12127760755,27250.35587604037,101923.86351974362
133.3292913573778,223705.6043968378,55847.14991728643,31797.29025673288,117758.95038660317
136.5812252929236,223705.6043968378,58604.623708562314,34062.94484505046,121717.72210331805
139.8331592284694,235963.44573365082,61428.54265143523,34633.772781138585,121717.72210331805
143.0850931640152,239027.90606785408,64318.90674590514,34633.772781138585,125676.49382003295
146.337027099561,248221.28707046385,67275.71599197206,38370.59718866838,129635.26553674784
149.58896103510682,266608.0490756834,70298.970389636,43546.48888386376,141511.5806868925
152.8408949706526,278865.89041249646,73388.66993889694,45844.24600372797,141511.5806868925
156.0928289061984,281930.35074669967,76544.81463975487,45844.24600372797,145470.3524036074
159.3447628417442,284994.81108090293,79767.40449220983,45844.24600372797,145470.3524036074
162.59669677729,297252.652417716,83056.43949626178,45844.24600372797,145470.3524036074
165.8486307128358,309510.493754529,86411.91965191078,49581.070411257766,145470.3524036074
169.1005646483816,312574.95408873225,89833.84495915676,49581.070411257766,145470.3524036074
172.3524985839274,331535.7933526145,93322.21541799976,53317.89481878756,145470.3524036074
175.60443251947322,331535.7933526145,96877.03102843977,57054.71922631735,149429.1241203223
178.856366455019,334600.25368681777,100498.29179047678,60791.54363384714,149429.1241203223
182.1083003905648,347781.3059010838,104185.99770411079,60791.54363384714,153387.89583703718
185.3602343261106,356974.68690369354,107940.14876934183,68265.19244890673,153387.89583703718
188.6121682616564,366168.06790630333,111760.74498616986,68265.19244890673,166351.07151389794
191.86410219720221,369232.5282405066,115647.78635459492,68265.19244890673,166351.07151389794
195.116036132748,369232.5282405066,119601.272874617,68265.19244890673,170309.84323061284
198.3679700682938,375361.4489089131,123621.20454623605,68265.19244890673,170309.84323061284
201.61990400383962,378425.90924311633,127707.58136945215,68265.19244890673,182186.1583807575
204.87183793938541,403045.2503630584,131860.40334426524,68265.19244890673,186144.9300974724
208.1237718749312,424496.47270248126,136079.67047067534,72002.01685643652,194062.47353090215
211.375705810477,433689.853705091,140365.38274868243,79475.66567149611,201980.01696433194
214.6276397460228,442883.2347077008,144717.54017828652,91338.07160882879,201980.01696433194
217.87957368156862,452076.6157103105,149136.1427594877,98811.72042388839,201980.01696433194
221.1315076171144,461269.9967129203,153621.19049228582,102322.61573144163,214595.6997309895
224.3834415526602,470782.4030632947,158172.68337668094,105186.99972977542,214595.6997309895
227.63537548820602,483040.24440010777,162790.62141267315,114641.24009622227,214595.6997309895
230.88730942375182,495298.08573692077,167475.0046002623,126081.35175834391,222513.24316441928
