County,queen,rook,fixed62,knn6,component62
Anxiang,5,4,5,6,1
Hanshou,5,4,4,6,1
Jinshi,4,4,4,6,1
Li,4,4,3,6,1
Linli,4,4,4,6,1
Shimen,5,5,1,6,1
Liuyang,4,4,2,6,1
Ningxiang,7,7,4,6,1
Wangcheng,6,6,4,6,1
Anren,8,7,4,6,1
Guidong,3,3,3,6,1
Jiahe,5,5,5,6,1
Linwu,4,4,4,6,1
Rucheng,3,3,2,6,1
Yizhang,4,4,1,6,1
Yongxing,5,4,4,6,1
Zixing,7,6,3,6,1
Changning,5,5,3,6,1
Hengdong,6,6,5,6,1
Hengnan,7,7,5,6,1
Hengshan,5,5,6,6,1
Leiyang,5,5,4,6,1
Qidong,7,7,3,6,1
Chenxi,5,5,4,6,1
Zhongfang,5,5,4,6,1
Huitong,4,4,4,6,1
Jingzhou,3,3,2,6,1
Mayang,5,5,6,6,1
Tongdao,3,3,2,6,1
Xinhuang,1,1,1,6,1
Xupu,8,8,2,6,1
Yuanling,8,8,1,6,1
Zhijiang,5,5,5,6,1
Lengshuijiang,3,3,3,6,1
Shuangfeng,6,6,6,6,1
Xinhua,6,6,5,6,1
Chengbu,4,4,2,6,1
Dongan,4,4,3,6,1
Dongkou,5,5,4,6,1
Longhui,6,6,3,6,1
Shaodong,6,6,5,6,1
Suining,7,7,5,6,1
Wugang,6,6,3,6,1
Xinning,4,4,2,6,1
Xinshao,6,6,6,6,1
Shaoshan,3,3,5,6,1
Xiangxiang,5,5,5,6,1
Baojing,5,5,5,6,1
Fenghuang,4,4,4,6,1
Guzhang,5,5,6,6,1
Huayuan,3,3,4,6,1
Jishou,5,5,6,6,1
Longshan,3,3,2,6,1
Luxi,6,6,5,6,1
Yongshun,5,5,4,6,1
Anhua,7,7,1,6,1
Nan,6,5,5,6,1
Yuanjiang,5,5,5,6,1
Jianghua,4,4,3,6,1
Lanshan,4,4,4,6,1
Ningyuan,7,7,5,6,1
Shuangpai,3,3,4,6,1
Xintian,4,4,5,6,1
Huarong,2,2,4,6,1
Linxiang,1,1,1,6,1
Miluo,5,5,5,6,1
Pingjiang,4,4,2,6,1
Xiangyin,5,5,4,6,1
Cili,3,3,2,6,1
Chaling,3,3,3,6,1
Liling,3,3,2,6,1
Yanling,5,4,3,6,1
You,5,5,4,6,1
Zhuzhou,6,6,5,6,1
Sangzhi,6,6,2,6,1
Yueyang,7,7,3,6,1
Qiyang,7,7,3,6,1
Taojiang,7,7,2,6,1
Shaoyang,7,7,4,6,1
Lianyuan,8,8,5,6,1
Hongjiang,6,6,5,6,1
Hengyang,5,5,6,6,1
Guiyang,9,9,4,6,1
Changsha,6,6,4,6,1
Taoyuan,11,10,2,6,1
Xiangtan,9,9,4,6,1
Dao,4,4,4,6,1
Jiangyong,2,2,2,6,1
