spatial_m,lag_days,ratio
1000,1,255.178479496095
2000,1,221.6329877914103
3000,1,120.15752501352003
4000,1,76.63640246569945
5000,1,54.01873430021101
6000,1,40.64940899870965
7000,1,31.47052194717526
8000,1,26.223949391647018
9000,1,22.39045642799299
10000,1,19.717830453827826
11000,1,18.681666703053157
12000,1,17.692410082823464
13000,1,16.462813222104593
14000,1,15.390758109589338
15000,1,14.89994811444369
16000,1,14.438446242486346
17000,1,14.058467344008793
18000,1,13.285055405398612
19000,1,12.816154294185976
20000,1,12.4503947223363
21000,1,11.951016240302224
22000,1,11.68347380153525
23000,1,11.411280036637446
24000,1,11.067362396343233
25000,1,10.795249862881429
26000,1,10.49317774806523
27000,1,10.27606592802322
28000,1,10.057224979677608
29000,1,9.75773713519176
30000,1,9.56561560893472
1000,3,107.1422461986809
2000,3,84.10115937181973
3000,3,48.254956851432155
4000,3,33.07780955153763
5000,3,24.35954826246758
6000,3,18.946096120907374
7000,3,15.542542358248854
8000,3,13.186682132067183
9000,3,11.467203324133145
10000,3,10.357846573729985
11000,3,10.094599405878421
12000,3,9.65650026001417
13000,3,9.07439416269537
14000,3,8.587357381574975
15000,3,8.368460773128449
16000,3,8.122192775346736
17000,3,7.915387359868528
18000,3,7.584057805335614
19000,3,7.394755647706738
20000,3,7.300665839367649
21000,3,7.132803026456821
22000,3,7.013629171864554
23000,3,6.861031656664509
24000,3,6.703363947068717
25000,3,6.530170293788607
26000,3,6.3883753608506115
27000,3,6.253361347626881
28000,3,6.135678494086357
29000,3,5.989067531071432
30000,3,5.91965370023967
1000,5,65.75753125476294
2000,5,52.42360700383097
3000,5,31.141009852005215
4000,5,21.887619439278446
5000,5,16.657779901286727
6000,5,13.293624949385546
7000,5,11.162258609397018
8000,5,9.712749198259786
9000,5,8.491487260401918
10000,5,7.82501410971811
11000,5,7.680922180995156
12000,5,7.407952868993676
13000,5,7.109601066410229
14000,5,6.758825417468537
15000,5,6.6963257025968606
16000,5,6.5547658360498335
17000,5,6.469452190135777
18000,5,6.245038384937516
19000,5,6.144091596826859
20000,5,6.084774345738595
21000,5,5.9645127562969025
22000,5,5.864506841748124
23000,5,5.756255893386662
24000,5,5.62750901798652
25000,5,5.5149388847511105
26000,5,5.420294718867869
27000,5,5.315553603865609
28000,5,5.218202767595726
29000,5,5.092335103046195
30000,5,5.0161852466182335
1000,7,50.12434418673295
2000,7,39.46092293831677
3000,7,24.119857557079
4000,7,17.3617377058492
5000,7,13.53171490612712
6000,7,10.942526802123457
7000,7,9.309294798820623
8000,7,8.234998925618166
9000,7,7.2742937179291784
10000,7,6.721348347567398
11000,7,6.907017535736511
12000,7,6.9816149432854155
13000,7,7.064514806846143
14000,7,6.893376759501118
15000,7,6.922773926546893
16000,7,6.81871440061104
17000,7,6.706110981632775
18000,7,6.482815899052987
19000,7,6.359824209805136
20000,7,6.250788681098027
21000,7,6.112269386328964
22000,7,6.008338342576406
23000,7,5.874826409141452
24000,7,5.715556982733639
25000,7,5.583328319679299
26000,7,5.454399989886028
27000,7,5.32391939257073
28000,7,5.194775188045543
29000,7,5.054666745292988
30000,7,4.973672125502927
1000,9,40.62136051807495
2000,9,32.191275145644326
3000,9,19.880687375989655
4000,9,14.3918443327545
5000,9,11.530311447278075
6000,9,9.368279465394295
7000,9,8.001232375515212
