County,NAME_2,GDPPC,lag_average,lag_sum,window_average,window_sum,idw_average,neighbours,difference
Anxiang,Changde,23667,24847.2,124236,24650.5,147903,26571.897570057186,5,-1180.2000000000007
Hanshou,Changde,20981,22724.8,113624,22434.166666666668,134605,22567.99209036039,5,-1743.7999999999993
Jinshi,Changde,34592,24143.25,96573,26233,131165,24355.987747892446,4,10448.75
Li,Changde,24473,27737.5,110950,27084.600000000002,135423,28108.270580815304,4,-3264.5
Linli,Changde,25554,27270.25,109081,26927,134635,28266.677095656538,4,-1716.25
Shimen,Changde,27137,21248.8,106244,22230.166666666664,133381,21215.13971425496,5,5888.200000000001
Liuyang,Changsha,63118,43747,174988,47621.2,238106,46475.27328111332,4,19371
Ningxiang,Changsha,62202,33582.71428571428,235079,37160.125,297281,37460.3040448921,7,28619.285714285717
Wangcheng,Changsha,70666,45651.166666666664,273907,49224.71428571428,344573,50937.9434582076,6,25014.833333333336
Anren,Chenzhou,12761,32027.625,256221,29886.88888888889,268982,30716.478764663847,8,-19266.625
Guidong,Chenzhou,8497,32671,98013,26627.5,106510,33873.55991882454,3,-24174
Jiahe,Chenzhou,32091,20810,104050,22690.166666666664,136141,20591.363670861,5,11281
Linwu,Chenzhou,23986,25711.5,102846,25366.4,126832,25101.340786879024,4,-1725.5
Rucheng,Chenzhou,11286,30672.333333333332,92017,25825.75,103303,33725.661499281254,3,-19386.333333333332
Yizhang,Chenzhou,17814,33457.75,133831,30329,151645,30697.263943649516,4,-15643.75
Yongxing,Chenzhou,37651,31689.200000000004,158446,32682.833333333332,196097,32759.484422277925,5,5961.799999999996
Zixing,Chenzhou,65706,20269,141883,25948.625,207589,20575.222484753933,7,45437
Changning,Hengyang,24418,23901.6,119508,23987.666666666664,143926,23892.986053548277,5,516.4000000000015
Hengdong,Hengyang,27485,25126.166666666664,150757,25463.142857142855,178242,25609.39287510288,6,2358.8333333333358
Hengnan,Hengyang,21911,21903.42857142857,153324,21904.375,175235,22415.168413774543,7,7.57142857143117
Hengshan,Hengyang,25172,22718.600000000002,113593,23127.5,138765,23004.259053075395,5,2453.399999999998
Leiyang,Hengyang,26105,25918.800000000003,129594,25949.833333333332,155699,26249.42499023614,5,186.1999999999971
Qidong,Hengyang,18001,20306.999999999996,142149,20018.75,160150,20559.322795066866,7,-2305.9999999999964
Chenxi,Huaihua,17026,20023.800000000003,100119,19524.166666666664,117145,19697.59663117966,5,-2997.800000000003
Zhongfang,Huaihua,30846,16576.800000000003,82884,18955,113730,16728.265020606505,5,14269.199999999997
Huitong,Huaihua,14334,18667,74668,17800.4,89002,18550.77313026982,4,-4333
Jingzhou,Huaihua,20348,14394.666666666664,43184,15883,63532,14147.805875213415,3,5953.333333333336
Mayang,Huaihua,13744,19848.800000000003,99244,18831.333333333332,112988,19463.054340595034,5,-6104.800000000003
Tongdao,Huaihua,12781,15516.333333333332,46549,14832.5,59330,16183.865350998736,3,-2735.333333333332
Xinhuang,Huaihua,15412,20518,20518,17965,35930,20518,1,-5106
Xupu,Huaihua,13863,17572,140576,17159.888888888887,154439,17486.479776628043,8,-3709
Yuanling,Huaihua,24194,15200.125,121601,16199.444444444443,145795,14909.865653715044,8,8993.875
Zhijiang,Huaihua,20518,18413.8,92069,18764.5,112587,18321.05396532997,5,2104.2000000000007
Lengshuijiang,Loudi,64257,14419.333333333332,43258,26878.75,107515,14180.2786218376,3,49837.66666666667
Shuangfeng,Loudi,17755,24094.5,144567,23188.85714285714,162322,24143.35050423959,6,-6339.5
Xinhua,Loudi,13398,22019.833333333336,132119,20788.14285714285,145517,26733.288080233968,6,-8621.833333333336
Chengbu,Shaoyang,10132,12923.5,51694,12365.2,61826,13233.551753942897,4,-2791.5
Dongan,Yongzhou,20901,14756,59024,15985,79925,14689.410877671284,4,6145
Dongkou,Shaoyang,13240,13869.800000000001,69349,13764.833333333332,82589,13570.746025083801,5,-629.8000000000011
Longhui,Shaoyang,9572,12296.666666666666,73780,11907.428571428572,83352,12246.201877468797,6,-2724.666666666666
Shaodong,Shaoyang,25246,15775.166666666664,94651,17128.142857142855,119897,15659.717327406122,6,9470.833333333336
Suining,Shaoyang,16069,14382.85714285714,100680,14593.625,116749,14144.714745713987,7,1686.1428571428605
Wugang,Shaoyang,12112,11566.333333333332,69398,11644.285714285714,81510,11728.882405865636,6,545.6666666666679
Xinning,Shaoyang,10732,13199.5,52798,12706,63530,13797.824212037809,4,-2467.5
Xinshao,Shaoyang,11514,23412,140472,21712.28571428571,151986,28181.59149625161,6,-11898
Shaoshan,Xiangtan,55570,39541,118623,43548.25,174193,39892.44389151181,3,16029
Xiangxiang,Xiangtan,29361,36186.600000000006,180933,35049,210294,39270.73481906991,5,-6825.600000000006
Baojing,Xiangxi Tujia and Miao,14563,16559.6,82798,16226.833333333332,97361,17586.473023884584,5,-1996.5999999999985
Fenghuang,Xiangxi Tujia and Miao,13382,20772.5,83090,19294.4,96472,20422.440375750382,4,-7390.5
Guzhang,Xiangxi Tujia and Miao,11580,19471.2,97356,18155.999999999996,108936,19637.520360387778,5,-7891.200000000001
Huayuan,Xiangxi Tujia and Miao,20337,19827.333333333332,59482,19954.75,79819,20082.525926117603,3,509.6666666666679
Jishou,Xiangxi Tujia and Miao,31537,15466.8,77334,18145.166666666664,108871,15765.642335182827,5,16070.2
Longshan,Xiangxi Tujia and Miao,9754,12925.666666666666,38777,12132.75,48531,12554.835754983204,3,-3171.666666666666
Luxi,Xiangxi Tujia and Miao,17472,18577.166666666664,111463,18419.285714285714,128935,19666.657511049998,6,-1105.1666666666642
Yongshun,Xiangxi Tujia and Miao,9590,14943,74715,14050.833333333332,84305,14171.011529471716,5,-5353
Anhua,Yiyang,14567,24912.999999999996,174391,23619.75,188958,23108.83753497131,7,-10345.999999999996
Nan,Yiyang,21311,25093,150558,24552.714285714286,171869,25665.17372589992,6,-3782
Yuanjiang,Yiyang,26258,24428.8,122144,24733.666666666664,148402,24857.128532677438,5,1829.2000000000007
Jianghua,Yongzhou,15801,17003,68012,16762.6,83813,17289.719206211066,4,-1202
Lanshan,Yongzhou,20088,21143.75,84575,20932.600000000006,104663,21712.54483420958,4,-1055.75
Ningyuan,Yongzhou,12697,20435,143045,19467.75,155742,20581.586635948053,7,-7738
Shuangpai,Yongzhou,21942,17131.333333333332,51394,18334,73336,16805.43008020029,3,4810.666666666668
Xintian,Yongzhou,14426,24569.75,98279,22541,112705,24433.351603947882,4,-10143.75
Huarong,Yueyang,30413,23835.5,47671,26028,78084,23163.988096353823,2,6577.5
Linxiang,Yueyang,31897,26360,26360,29128.5,58257,26360,1,5537
Miluo,Yueyang,42497,47383.40000000001,236917,46569,279414,45129.4464257604,5,-4886.400000000009
Pingjiang,Yueyang,17252,55157.75,220631,47576.600000000006,237883,54902.938953532954,4,-37905.75
Xiangyin,Yueyang,33983,37058.00000000001,185290,36545.5,219273,38531.63624354721,5,-3075.0000000000073
Cili,Zhangjiajie,18714,21546.666666666664,64640,20838.5,83354,22050.128685723,3,-2832.6666666666642
Chaling,Zhuzhou,20078,23348.666666666664,70046,22531,90124,22908.522927185397,3,-3270.6666666666642
Liling,Zhuzhou,41491,42323.66666666666,126971,42115.5,168462,38082.93726520181,3,-832.666666666657
Yanling,Zhuzhou,21021,28938.6,144693,27618.999999999996,165714,26509.150734424733,5,-7917.5999999999985
You,Zhuzhou,36264,25880.8,129404,27611.33333333333,165668,26099.916834526866,5,10383.2
Zhuzhou,Zhuzhou,27589,47345.666666666664,284074,44523.28571428571,311663,42809.53842842308,6,-19756.666666666664
Sangzhi,Zhangjiajie,14624,18711.333333333332,112268,18127.42857142857,126892,17543.590811248454,6,-4087.333333333332
Yueyang,Yueyang,26360,29087.285714285714,203611,28746.375,229971,30093.53291049135,7,-2727.2857142857138
Qiyang,Yongzhou,20638,20748.285714285717,145238,20734.5,165876,20251.428110569777,7,-110.2857142857174
Taojiang,Yiyang,19509,35933.71428571428,251536,33880.625,271045,37537.66216483085,7,-16424.714285714283
Shaoyang,Shaoyang,9653,15439.714285714284,108078,14716.375,117731,15486.786035233134,7,-5786.714285714284
Lianyuan,Loudi,18346,29787.5,238300,28516.22222222222,256646,31776.804595598966,8,-11441.5
Hongjiang,Huaihua,17733,18145,108870,18086.142857142855,126603,19489.53995729549,6,-412
Hengyang,Hengyang,19382,21617.000000000004,108085,21244.499999999996,127467,21764.94645328358,5,-2235.0000000000036
Guiyang,Chenzhou,32853,29203.888888888883,262835,29568.8,295688,29284.08614204369,9,3649.1111111111168
Changsha,Changsha,88656,41363.666666666664,248182,48119.71428571428,336838,46845.97684336047,6,47292.333333333336
Taoyuan,Changde,22879,22259.09090909091,244850,22310.749999999996,267729,22485.286258719054,11,619.9090909090883
Xiangtan,Xiangtan,27060,44939.555555555555,404456,43151.6,431516,42487.65715957658,9,-17879.555555555555
Dao,Yongzhou,18059,16902,67608,17133.4,85667,16829.43280443538,4,1157
Jiangyong,Yongzhou,17168,16930,33860,17009.333333333332,51028,17010.150952021897,2,238
